33000 ane;;;;;;;;
3000 ane;;;guerra olmecas;;;;;
;;;guerra zapotecos;;;;;
;;;guerra entre los mayas p42 la guerra en mesoamérica;;;;;
;;;guerra tolteca;;;;;
;;;y 5 ciudades dispersión ;teotihuacán ;15092 15075  ;;;
;;;;cholula ;21140;;;
;;;;xochicalco ;17015;;;
;;;;malinalco ;15052;;;
;;;;tula ;13076;;;
;;;;monte albán ;20067;;;
;;;;chichén itzá ;31091;;;
;;;;palenque ;7065;;;
;;;;tula ;13076;;;
1428;;nahua tepaneca;En torno a Tenochtitlán y Azcapotzalco. Se tiene registro de diversos levantamientos desde el siglo X con la conformación de los Estados militaristas de la época precolombina;tenochtitlán   ;9015;;;
;;;;azcapotzalco;9002;;;
;;;;huexotla ;15099;;;
;;;tlaxcala y mexica inica inv europea;cuetlaxtlan ;30049;;;
;;;;cempoallan ;30134 30016;;;
1473;;;códice mendocino f 10r Moquíhuix axayácatl;tlatelolco ;9015;;;
;;;;teotitlán ;20545;;;
;;;;yopes     ;12052;;;
;;;;;12066;;;
;;;;;12023;;;
;;;;;12053;;;
;;;;;12056;;;
;;;;;;;;
;;;;metztitlán ;13037;;;
;;;;cholula ;21140;;;
;;;;;;;;
;;;;;;;;
;;;;tututepec -tototepec ;20334;;;
;;;;coatlicámac- teotitlán  o mixes o cuicatecos;20545;;;
;;;;coatzacualco ;30039;;;
;;;;chiappan ;15026;;;
;;;;;;;;
;;;;tzintzuntzan ;16100;;;
;;;;zumpango ;15120;;;
;;;;chalco  ;15025;;;
;;;; xochimilco ;90013;;;
;;;;chimlhuacán ;15031;;;
;;;;;;;;
;;;;tlaxcala ;29033;;;
;;;;huejotzingo ;21074;;;
1426- 1440;;;izcoatl;tlatelolco    ;9015;;;
;;;;xochimilco ;9013;;;
;;;;mixquic ;9011;;;
;;;;cuitláhuac ;9007;;;
1440;;;moctezuma ilhuicamina;xochimilco     ;9013;;;
;;;;atzcaotzalco ;9005;;;
;;;;colhuacan ;9007;;;
;;;;coyoacan ;9003;;;
;;;;huexotla ;15099;;;
;;;ahuizotl tizoc códice mendocino f 66r  códice telleriano remensis f 37v;xiquipilco    ;15047;;;
;;;;chiapan ;15026;;;
;;;;xilotepec ;15055;;;
;;;motecuzoma xocoyotzin;Huexotzingo ;21074;;;
;;;;yancuitlán  ;20523;;;
;;;;cocolan ;20021;;;
;;;;cuzcatlán ;13°40?N 89°14?O;;;
;;;;;;;;
;;;ahuizotl tizoc códice mendocino f 66r  códice telleriano remensis f 37v;méxico tenochtitlan ;9015;;;
CENTRO;;;;;;;;
1520;30-jun;nahua mexica;"La resistencia del pueblo Mexica expulsa a los conquistadores de Tenochtitlán 1.300 españoles afrontan la ""Noche Triste"" en la que mueren 600 de ellos.";tenochtitlán;9015;;;
;;;; tlatelolco;9015;;;
;;;;tacuba;9002;;;
;;;;iztapalapa;9007;;;
1521;13-ago;nahua mexica;Caída de Tenochtitlan ante los conquistadores europeos.;tenochtitlán tlatelolco 09015;9015;;;
1531;;nahua mexica;Rebelión Azteca Náhuatl en la Ciudad de México;méxico t 09015;9015;;;
1537;;afromex;Conjuración de rebelión de afromexicanos  en Cd de México;méxico t09015;9015;;;
